"Date","Time","Revision","Operator","Job Number","Panel","Samples","Atten","Grade","Layers",

"12/02/2024","09:20:11",3200805.00,"Jose           ","223dec022024   ","Point 001 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,45.781, 48.622,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.196, 14.719,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,36.040, 43.124,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.094, 18.665,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:16",3200805.00,"Jose           ","223dec022024   ","Point 012 / 172",0,17,"64             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,44.599, 47.367,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,11.790, 13.150,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,32.149, 38.468,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,12.363, 16.373,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:19",3200805.00,"Jose           ","223dec022024   ","Point 013 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,36.810, 39.095,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,10.913, 12.173,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,35.699, 42.715,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,11.249, 14.897,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:29",3200805.00,"Jose           ","223dec022024   ","Point 014 / 172",0,17,"64             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,35.819, 38.042,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.776, 15.366,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,41.530, 49.692,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,12.527, 16.590,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:32",3200805.00,"Jose           ","223dec022024   ","Point 015 / 172",0,17,"63             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,40.935, 43.476,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,11.238, 12.535,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,31.440, 37.618,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,12.358, 16.367,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:43",3200805.00,"Jose           ","223dec022024   ","Point 016 / 172",0,17,"91             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,39.432, 41.880,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,11.174, 12.463,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,30.657, 36.682,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,12.758, 16.896,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:47",3200805.00,"Jose           ","223dec022024   ","Point 017 / 172",0,17,"68             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,34.100, 36.216,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,10.222, 11.402,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,35.839, 42.883,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,13.282, 17.589,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:54",3200805.00,"Jose           ","223dec022024   ","Point 018 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,45.320, 48.133,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,15.318, 17.085,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,34.342, 41.091,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,11.825, 15.660,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:58",3200805.00,"Jose           ","223dec022024   ","Point 019 / 172",0,17,"62             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,46.746, 49.647,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,14.387, 16.047,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,31.781, 38.027,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,12.569, 16.645,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:22:00",3200805.00,"Jose           ","223dec022024   ","Point 020 / 172",0,17,"62             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,41.221, 43.779,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.620, 15.192,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,30.500, 36.494,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,12.881, 17.059,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:22:03",3200805.00,"Jose           ","223dec022024   ","Point 021 / 172",0,17,"91             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,43.237, 45.920,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,12.029, 13.417,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,32.158, 38.479,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,13.646, 18.072,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:22:09",3200805.00,"Jose           ","223dec022024   ","Point 022 / 172",0,17,"65             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,40.825, 43.359,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,11.642, 12.985,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,34.017, 40.702,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,13.127, 17.385,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:22:11",3200805.00,"Jose           ","223dec022024   ","Point 023 / 172",0,17,"64             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,43.619, 46.326,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,11.947, 13.326,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,39.194, 46.897,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,12.985, 17.197,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:22:14",3200805.00,"Jose           ","223dec022024   ","Point 024 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,46.105, 48.966,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,15.046, 16.782,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,40.888, 48.923,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,13.897, 18.404,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:22:17",3200805.00,"Jose           ","223dec022024   ","Point 025 / 172",0,17,"57             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,47.855, 50.825,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.597, 15.166,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,36.722, 43.939,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,13.882, 18.384,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:22:29",3200805.00,"Jose           ","223dec022024   ","Point 026 / 172",0,17,"58             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,48.317, 51.315,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,11.634, 12.977,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,29.645, 35.471,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.395, 19.064,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:23:10",3200805.00,"Jose           ","223dec022024   ","Point 027 / 172",0,17,"55             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,47.224, 50.155,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,10.901, 12.159,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,37.241, 44.560,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.829, 19.639,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:23:23",3200805.00,"Jose           ","223dec022024   ","Point 028 / 172",0,17,"65             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,38.404, 40.787,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,12.593, 14.046,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,31.054, 37.157,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.022, 18.569,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:23:56",3200805.00,"Jose           ","223dec022024   ","Point 029 / 172",0,17,"61             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,44.825, 47.607,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.461, 15.014,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,38.957, 46.613,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,13.945, 18.468,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:23:59",3200805.00,"Jose           ","223dec022024   ","Point 030 / 172",0,17,"89             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,39.823, 42.294,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.700, 15.280,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,36.533, 43.713,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,15.268, 20.220,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:24:03",3200805.00,"Jose           ","223dec022024   ","Point 031 / 172",0,17,"73             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,43.783, 46.501,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.306, 14.841,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,33.947, 40.618,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.316, 18.959,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:24:06",3200805.00,"Jose           ","223dec022024   ","Point 032 / 172",0,17,"91             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,38.608, 41.004,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,11.971, 13.353,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,31.375, 37.541,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.437, 19.119,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:24:09",3200805.00,"Jose           ","223dec022024   ","Point 033 / 172",0,17,"63             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,35.646, 37.858,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,14.688, 16.383,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,33.607, 40.212,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.460, 19.150,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:24:14",3200805.00,"Jose           ","223dec022024   ","Point 034 / 172",0,17,"62             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,40.313, 42.815,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,15.829, 17.656,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,36.471, 43.638,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.918, 19.756,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:25:06",3200805.00,"Jose           ","223dec022024   ","Point 035 / 172",0,17,"62             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,58.473, 62.101,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827., 7.613,  8.492,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,23.879, 28.572,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,13.934, 18.453,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:25:09",3200805.00,"Jose           ","223dec022024   ","Point 036 / 172",0,17,"66             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,45.391, 48.208,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,12.289, 13.708,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,33.755, 40.389,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.852, 19.668,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:25:12",3200805.00,"Jose           ","223dec022024   ","Point 037 / 172",0,17,"93             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,43.811, 46.530,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.895, 15.499,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,32.455, 38.834,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,15.101, 19.999,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:25:17",3200805.00,"Jose           ","223dec022024   ","Point 038 / 172",0,17,"72             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,47.056, 49.976,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,10.652, 11.881,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,36.848, 44.090,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.482, 19.180,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:25:23",3200805.00,"Jose           ","223dec022024   ","Point 039 / 172",0,17,"54             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,45.639, 48.471,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827., 8.818,  9.835,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,35.797, 42.832,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,17.596, 23.303,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:25:30",3200805.00,"Jose           ","223dec022024   ","Point 040 / 172",0,17,"68             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,29.273, 31.090,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,10.436, 11.641,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,31.049, 37.151,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,17.222, 22.807,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:25:37",3200805.00,"Jose           ","223dec022024   ","Point 041 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,29.395, 31.219,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,15.224, 16.980,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,31.487, 37.676,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,17.945, 23.765,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:25:42",3200805.00,"Jose           ","223dec022024   ","Point 042 / 172",0,17,"74             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,34.742, 36.898,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,12.322, 13.744,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,31.264, 37.408,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,19.079, 25.266,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
